"TIME_UTC	 P	 T	 TAS	 U	 V	 W	 TEDR	 REYN	 G_LAT	 G_LONG	 G_ALT	 POT	 ROLL	 HDG	 PITCH                                                                                                                   "
"66631.57	72605	28517	12290	201	331	-192	-1106	528	3735081	-12181308	28416	31248	-140	13671	1362"
"66632.57	72476	28511	12322	199	352	-154	-910	531	3735004	-12181211	28561	31257	-125	13675	1360"
"66633.57	72345	28500	12337	211	365	-128	-987	532	3734926	-12181115	28707	31262	-136	13682	1360"
"66634.57	72220	28494	12362	220	388	-126	-1029	534	3734849	-12181018	28854	31271	-149	13699	1354"
"66635.57	72092	28488	12390	230	416	-118	-922	537	3734771	-12180922	29001	31280	-126	13709	1354"
"66636.57	71972	28480	12413	227	425	-103	-943	537	3734692	-12180825	29148	31286	-120	13723	1344"
"66637.57	71848	28471	12431	239	437	-155	-1117	539	3734615	-12180730	29296	31291	-323	13705	1325"
"66638.57	71717	28464	12440	252	438	-190	-967	540	3734537	-12180632	29444	31300	-403	13681	1337"
"66639.57	71591	28456	12462	250	446	-179	-949	540	3734459	-12180536	29590	31307	-415	13661	1349"
"66640.57	71468	28447	12487	248	459	-202	-796	540	3734380	-12180439	29736	31313	-400	13648	1334"
"66641.57	71344	28441	12506	261	478	-240	-803	542	3734302	-12180342	29883	31321	-401	13633	1332"
"66642.57	71222	28432	12522	286	504	-239	-782	545	3734224	-12180243	30030	31327	-411	13636	1329"
"66643.57	71096	28426	12565	298	554	-147	-794	548	3734147	-12180143	30176	31336	-396	13633	1320"
"66644.57	70972	28435	12596	321	600	-136	-904	552	3734070	-12180046	30322	31362	-404	13635	1315"
"66645.57	70849	28436	12604	359	623	-174	-947	555	3733992	-12179946	30467	31379	-350	13646	1308"
"66646.57	70738	28433	12622	368	636	-185	-867	555	3733915	-12179846	30612	31389	-381	13644	1306"
"66647.57	70620	28426	12638	376	641	-290	-767	556	3733838	-12179745	30756	31396	-1433	13545	1312"
"66648.57	70474	28417	12660	372	641	-504	-866	555	3733761	-12179644	30902	31405	-1928	13334	1324"
"66649.57	70341	28407	12671	367	643	-514	-875	556	3733686	-12179541	31045	31411	-2006	13153	1322"
"66650.57	70214	28399	12668	379	641	-542	-787	556	3733611	-12179438	31187	31418	-2062	13008	1346"
"66651.57	70086	28392	12661	396	645	-582	-888	556	3733540	-12179330	31330	31427	-2260	12838	1356"
"66652.57	69956	28387	12659	410	656	-622	-875	557	3733470	-12179221	31474	31438	-2418	12652	1356"
"66653.57	69825	28378	12676	397	668	-651	-823	557	3733402	-12179106	31618	31444	-2457	12466	1355"
"66654.57	69697	28366	12683	392	675	-649	-990	557	3733337	-12178992	31763	31448	-2476	12286	1353"
"66655.57	69569	28355	12687	391	682	-701	-923	557	3733276	-12178873	31911	31453	-2494	12104	1357"
"66656.57	69449	28348	12689	376	664	-685	-885	556	3733217	-12178752	32059	31460	-2498	11918	1357"
"66657.57	69327	28345	12699	346	636	-668	-820	554	3733161	-12178630	32206	31472	-2481	11716	1351"
"66658.57	69193	28336	12693	348	632	-656	-804	554	3733107	-12178505	32354	31481	-2489	11517	1356"
"66659.57	69061	28325	12698	349	654	-613	-864	555	3733057	-12178376	32501	31485	-2546	11345	1365"
"66660.57	68931	28313	12703	349	672	-615	-924	556	3733010	-12178247	32649	31488	-2571	11151	1364"
"66661.57	68799	28300	12706	352	697	-632	-877	557	3732967	-12178115	32799	31492	-2627	10958	1366"
"66662.57	68670	28294	12697	367	722	-649	-828	558	3732927	-12177980	32950	31501	-2701	10770	1379"
"66663.57	68545	28285	12682	378	724	-682	-866	559	3732891	-12177845	33101	31508	-2724	10566	1377"
"66664.57	68411	28278	12674	379	725	-708	-803	559	3732858	-12177706	33254	31518	-2752	10354	1381"
"66665.57	68284	28276	12702	342	724	-682	-897	558	3732830	-12177567	33407	31532	-2792	10149	1382"
"66666.57	68157	28272	12739	296	726	-684	-928	557	3732805	-12177428	33560	31545	-2815	9919	1375"
